Temperature,Humidity,WindSpeed
5.150335038,84.42434365,6.137755447
1.54337829,46.85141478,4.521421554
1.169483417,17.80697722,11.15738359
21.92527629,99.47337306,15.30249962
9.217516717,24.90683687,14.53473338
-1.441781262,32.63590353,4.675127018
34.37859225,24.67930505,6.610047005
33.7074344,40.37315662,17.37664366
33.12314618,36.03521204,14.46487489
9.537247113,64.09920237,14.25387811
-7.150877324,99.6814013,5.378101527
-4.662899105,14.72581499,15.84008615
3.802403989,80.0598802,7.168355909
0.998500205,21.5192732,8.027810403
33.69928101,11.78515222,5.75122178
39.31790902,67.47191381,2.427804941
30.83368312,88.5983706,8.40787126
26.49244514,25.8668656,0.338790038
19.431207,40.74524062,9.118204789
28.49541496,25.18751838,14.50012876
37.35166561,91.58568124,19.21490066
20.0672335,34.33243892,1.572262891
-2.269337799,50.02416023,5.625814084
-1.807084137,90.52671487,9.882621032
19.19314016,59.75822834,3.407758974
6.673426989,93.95648207,2.336570442
35.51236876,93.38053732,9.046362109
20.58211669,51.54409179,11.61461058
23.82463067,62.41443515,16.40415453
-9.708964495,30.72828463,19.95606844
14.9424276,99.14822369,15.4854156
11.55823607,35.04849944,4.426809039
25.29359284,80.49762892,14.95956138
9.131933017,38.16721541,10.74307249
38.82875159,38.17380359,9.016191514
23.51015908,19.3476634,18.71456988
22.99591666,60.39062297,14.04185174
35.96705724,32.03491043,13.63386147
39.76024169,23.3555282,0.235119295
-0.108965537,30.40000251,17.30142983
30.52665716,32.59838414,15.86600955
-1.884025234,55.36751105,5.978837559
12.85217265,44.73307329,5.84226825
-4.990729783,16.79412529,1.069569201
21.16854892,58.24257246,1.017128475
13.42590817,80.89727064,13.37189027
21.43494742,61.68116448,3.724752258
23.89803763,97.7086227,18.470957
20.9716125,18.92351873,16.84808856
4.70145613,83.90371031,6.977703201
31.84795786,55.51234029,7.601371036
17.58430997,56.94356598,6.545531217
14.49255866,56.71899412,1.847898264
39.35319021,39.27869451,0.628603153
4.175395335,39.20995128,9.042663167
16.40151524,66.8660056,18.86080229
24.11622893,14.02885768,18.34498642
-3.738703353,62.99074408,16.19677482
7.711986207,75.21316464,12.57189855
30.0844358,42.06936641,17.12444813
1.83791173,29.56212455,10.30137035
14.66451825,29.20482215,3.60320266
21.5315303,17.3655688,13.68340696
23.55811767,18.07473873,18.4129207
26.4155221,25.00190814,0.392101948
33.29886585,11.72556145,5.028881044
9.642972152,33.96118668,5.308763825
25.3315963,37.57616463,1.980790772
26.60873239,99.5699128,4.509884428
5.013706506,99.25189639,7.679641558
38.40789751,26.83439622,18.7967085
33.26095868,29.17289423,17.20531538
4.493066435,54.27157335,18.92012449
23.75343383,23.39059004,2.411435534
25.89003172,55.36354673,0.560969232
11.57418181,45.94507343,2.197663288
33.1871643,39.21606019,18.2859127
24.51146768,84.03446537,3.149772771
22.90773426,84.530593,11.45273413
1.042018614,98.91005203,4.551647397
10.39211557,30.07793027,0.412708498
11.69612446,89.94497474,1.692426843
26.68305483,58.40613367,14.19594046
20.91972726,63.23134882,3.64732904
-5.706970469,90.66638929,4.582784109
5.384897594,94.83677167,7.545130016
13.65237522,75.41301319,13.1448312
26.83664729,41.30581887,9.387447859
27.1784565,54.07011907,18.89220432
14.52716543,65.35484776,8.683643815
-4.153380887,84.57760351,3.982618404
4.645170169,69.21529348,10.72285679
2.734619112,42.8902855,9.017792302
29.05132052,47.60924062,15.74276677
-1.0006843,14.53939318,18.70242461
13.24606112,93.18410744,16.72590456
23.53594018,17.9307112,7.780794499
38.23930765,62.19377116,4.322322446
39.96202901,88.44866931,18.28977874
37.64610718,47.87787246,7.718793029
25.91211726,82.01129388,15.40413247
27.32204165,82.34344717,19.79054682
27.96050488,15.38614347,11.54885363
33.13024383,47.09293532,9.597609367
37.58927314,72.1922938,13.99741565
