AQI,PM10,PM2_5,NO2,SO2,O3
187.2700594,295.8530392,13.03856044,6.639263013,66.16114965,54.62427998
475.3571532,246.2547028,9.984497133,16.31832608,90.4995226,169.6217275
365.9969709,84.44319074,23.11133977,96.31781102,17.87585035,9.006793603
299.3292421,21.02060872,14.27340278,81.23440258,48.32361562,93.16103261
78.00932022,16.98766721,152.1116231,121.2354612,90.86616698,241.7951384
77.99726017,36.11344485,97.11324046,87.76956194,32.26120614,136.9997141
29.04180608,174.2305751,68.57841827,186.8153699,96.76641981,44.98239668
433.0880729,278.6290264,83.67378203,106.9479431,9.707749047,131.5660144
300.5575059,149.0230284,185.7893471,138.7452123,90.26711703,59.40987764
354.0362889,252.8836447,182.1503625,179.2970545,44.52121221,117.9574374
10.29224715,133.765986,143.135296,29.37437517,7.374416514,146.3500418
484.9549261,212.5750637,176.9364755,45.94693082,87.95215926,104.8674338
416.2213204,219.5618212,63.92960552,21.46373209,25.19402124,281.0906851
106.1695553,52.18911177,76.2218652,27.92767985,2.22501255,168.7590893
90.9124836,108.3648177,122.7424364,102.5167934,13.58071056,252.8678022
91.70225493,191.190647,124.7251895,64.23585179,65.91147419,228.2185641
152.1211215,21.20898246,96.3399676,84.63456791,97.78114891,198.3498928
262.3782158,108.4620563,80.13156969,196.4979664,11.14621396,149.0666245
215.9725093,160.4398399,197.2360623,31.34086956,46.19480481,0.652135134
145.6145701,298.8673479,164.2247252,108.1624142,18.06365509,184.0402802
305.9264474,142.3600688,86.99603958,19.77423101,74.50365341,106.7872359
69.74693033,244.8170271,145.4584954,63.69926265,11.80588998,35.32865004
146.0723243,129.6201855,53.91233865,105.5051847,23.98417485,133.3878791
183.1809216,238.9172168,20.03386525,189.3263492,19.64059676,220.6659967
228.0349921,178.6244405,70.48620511,78.24564426,55.25197804,288.5033384
392.5879807,265.9786325,80.59456002,12.98133924,87.3184092,112.2314673
99.83689108,123.2827657,3.307424912,77.63228959,51.10902012,162.8169896
257.1172192,181.2913259,162.9584003,29.14823517,5.824345277,255.373315
296.2072844,189.0056042,71.83868048,45.99792266,56.33889306,100.199826
23.22520636,125.2148825,116.0836332,123.6181246,79.75209993,42.67717349
303.772426,43.29361311,14.79263745,13.48477324,13.21561973,84.56454937
85.26206184,28.06782207,34.99936575,92.94475125,7.271121434,269.7368489
32.52579649,5.00146518,177.9387451,121.8923172,18.78077776,47.81793254
474.4427686,262.0602793,121.7375056,84.37167847,74.60863228,98.7663183
482.8160165,70.94247367,190.05681,3.825270125,59.16804195,139.3920932
404.1986741,63.45202478,199.7500069,197.1038714,54.0594654,254.133967
152.3068846,220.8106201,74.37202307,73.42315347,24.94798946,281.3139851
48.836057,96.00483393,59.76061282,155.7154374,33.22365952,127.7430929
342.1165133,151.8134077,171.671211,65.12929844,96.58850129,279.5862145
220.0762469,48.75331959,199.7222854,95.0033514,24.06252267,48.43772846
61.01911742,287.9237164,125.9282468,77.69272852,90.16454233,47.05568757
247.5884551,255.47442,159.0281445,68.5078459,58.05315045,284.7752459
17.19426056,259.1368869,156.3491718,4.370275442,12.32964664,152.9040401
454.660201,122.0321246,71.06794164,72.00418757,46.73123782,55.77235061
129.3899908,228.7083641,114.8540761,177.8979981,94.85487174,146.3971112
331.2611422,43.16284662,166.6113883,138.0786677,41.85655981,234.9633466
155.855538,2.585700778,137.6227753,29.08457182,86.33865648,248.0761097
260.0340106,5.991879773,4.232762796,118.2310009,25.64286947,259.190777
273.3551397,175.9805212,67.34113378,178.446172,57.09221518,170.8712709
92.42722776,136.6184716,28.89513932,140.0068082,84.38520582,260.0838043
484.7923139,155.4046047,46.59444242,29.73687847,92.06884412,153.0090626
387.5664117,2.238942125,181.0978955,173.5664993,48.58233672,182.1179707
469.7494708,126.8059859,7.378657782,60.30880266,63.96881021,227.6159407
447.4136752,215.4204484,43.96014239,90.81522886,0.298013078,127.6305878
298.9499894,132.8081106,61.91387045,105.2285519,25.32233075,22.07444614
460.9371175,219.6657619,123.3768144,170.1013209,27.87121037,105.0499071
44.24625103,69.90568932,106.820338,186.321499,9.349301165,187.183265
97.99143121,243.9426013,43.65389657,185.9305756,27.96950134,57.69971089
22.61364446,176.5293721,32.84821344,1.590836256,32.11220331,44.51560905
162.6651654,63.22892983,47.35960692,184.3776971,96.87660396,87.92416338
194.3386448,71.01614276,100.5059253,10.8773932,66.86023806,9.633438683
135.6745159,188.4091394,54.23555714,53.15473136,42.60050794,223.0268694
414.3687546,248.981878,189.5205003,102.9975709,98.80544607,77.61468066
178.3766633,124.6883346,92.77304429,95.9851378,15.32323202,37.27151899
140.4672548,77.49012874,11.75920331,120.9419588,47.60511939,209.7388248
271.3480416,260.1034821,145.8532812,95.88924575,64.7062207,252.8784038
70.46211249,200.7804875,65.76905764,186.8751359,5.558063448,5.962678759
401.0984904,134.4256462,130.6977864,48.10976964,71.69988581,70.07993122
37.27532184,146.3700586,55.9188741,54.80493881,9.986735292,283.5696975
493.4434683,61.27694038,114.1487483,184.1475871,14.02823086,115.5762408
386.1223846,188.040789,154.430501,15.34790275,15.96895125,281.577619
99.35784077,107.6227532,185.6017484,121.9121644,92.88898267,82.26376151
2.761058562,298.693553,52.22542889,136.3471904,68.32355451,65.42029067
407.7307142,144.0550546,66.9713902,101.1083447,65.54275011,64.23252352
353.4286719,145.7656819,92.85328406,138.8463758,55.54934965,25.56859813
364.503584,169.7555362,185.4349675,34.5509292,29.28059987,268.9296866
385.6351733,275.0268009,180.2773714,170.5264466,62.08897046,293.9505068
37.02232587,240.24543,17.97565602,28.00513789,41.01497199,286.3526422
179.2328643,135.3390209,26.38596515,80.16248886,14.54161501,255.6084419
57.93452976,215.6097798,99.10183547,15.05152026,68.95972903,254.0663723
431.5517129,175.8706496,21.32385456,109.0422158,12.95821679,198.3256402
311.6490634,147.7101146,69.11617467,133.9491615,19.0668581,247.8641136
165.4490124,57.69473184,29.67707564,188.244327,81.76993118,62.5027093
31.77917514,139.180879,127.208071,147.8672392,66.01170961,116.3737891
155.4911609,73.74557611,189.8990863,108.2205833,63.09911542,192.250888
162.591661,274.452645,199.3467541,186.5234034,41.82027843,262.4313998
364.8030892,100.622044,75.0482265,95.68736761,39.62805182,198.1408387
318.7787357,285.6792044,119.8025274,112.2411306,69.02626092,251.7065875
443.6063713,159.916587,171.2535307,119.2197055,74.00055386,142.1848548
236.1074626,189.4633136,23.49241456,81.99594518,51.02132024,215.1911213
59.79712297,162.8821333,137.9128822,167.6965381,96.92692443,293.9942419
356.6223936,38.81418509,81.76873235,37.03518777,95.56995589,46.04656714
380.3925243,112.7463657,41.22923206,110.9684381,41.242949,278.0762077
280.6385988,29.74383368,80.55072375,144.4466512,82.06222543,156.7091844
385.48359,186.8862133,15.19205739,180.7952344,54.32678416,192.9654092
246.8977982,134.0622586,139.0814297,176.7836793,51.17558876,263.3607021
261.3664147,233.3954915,50.54853375,101.7480579,5.496406138,122.8962518
213.7705092,66.1411443,62.28112901,128.6322902,57.39747105,125.6077725
12.70956337,49.36981753,24.21625965,78.84754723,90.05779306,158.1545509
53.9457135,121.8996693,172.9318228,93.63555258,78.01338492,5.730625349
15.71459284,277.975615,98.68885586,181.2531585,78.63171447,148.9998543
318.2052056,213.1265445,114.4293756,186.1407986,15.99290386,87.3261795
157.1779905,125.6770874,113.8865366,179.0828116,35.84494471,278.3862547
254.2853456,155.1816509,82.09862291,27.67417236,23.32049167,26.32058963
453.783237,25.26390335,38.50598309,170.0168043,31.59152825,137.7961386
124.6461146,295.3727689,149.0265497,189.6727462,57.95393435,284.2404511
205.1914615,199.9221914,25.41125307,72.24993891,36.47838134,270.3105751
377.7755693,85.62122054,20.77475806,103.7292579,56.06978175,210.4045327
114.3990827,175.7425183,142.0290075,155.8190512,43.85012483,176.8083156
38.48995491,32.84470982,41.76740409,112.4156275,28.66155584,84.21928114
144.8757265,289.7510006,61.35455027,198.6967043,9.540343421,110.0871338
80.61064363,52.43549637,95.0454934,91.14267303,89.18384573,27.04045943
464.8488262,194.4090954,89.87026335,142.7885422,1.1373366,235.8324893
404.0601898,73.63633876,141.715825,158.518228,0.165248814,97.16093037
316.7018783,215.2684148,124.6863587,98.82008315,82.67977398,200.3345697
435.7302951,233.0464102,128.8792325,171.3967611,99.68109403,107.2784332
401.8360384,202.0259187,142.8108661,109.2309182,72.71028277,139.2991324
93.28502944,184.3498381,58.52254548,82.33015936,1.527383806,166.5007417
446.2794992,267.7407282,64.46666236,21.56473477,22.66902267,240.5557225
269.671121,23.5880133,87.59954958,78.68271527,97.18227003,63.34691326
403.7200776,99.27442973,61.49243461,146.7872909,80.86042522,119.629616
448.04565,74.48624389,196.9875738,184.2572823,56.67998438,39.02447157
159.0017375,296.4041886,162.8103853,50.33588077,23.68607094,22.72815148
55.02596226,116.8169339,32.93093765,71.04710347,1.437020593,181.4023069
113.9675813,219.7838098,1.118831176,30.79219882,2.086147264,56.72731331
213.5538943,205.4175492,8.556653649,138.1445788,61.19808635,17.93980258
409.007383,63.62437124,48.81269021,192.037686,2.183187635,269.1293794
430.3652916,71.69930406,22.85825717,128.190444,99.36301419,160.2943259
3.476065266,84.38536907,106.667623,123.415306,18.33838335,40.38846222
255.3736513,123.3381835,171.5990445,110.6979861,71.07073619,16.02783823
208.7055016,70.2975197,147.3500442,17.69114814,15.50597214,35.95801602
111.0539052,5.895444824,43.12181262,145.9007653,54.00934211,141.4011721
59.93268367,263.817917,79.85985121,120.4099087,8.061128847,200.5395766
168.8075857,289.6829494,101.5788419,132.2953538,76.67784245,192.3840225
471.454852,102.4711161,162.0411699,179.7622186,58.49210947,43.32692588
161.601466,101.5520638,167.8243206,156.7921574,8.61666934,190.0466856
259.3953109,2.127543832,181.9436624,156.1830504,84.85861892,121.4596873
351.5094794,204.0752065,101.8490501,185.4367538,54.70186148,139.4231353
181.8148012,247.6319687,138.8549493,197.9869903,92.159231,240.4291219
485.8910414,43.98249011,22.36007425,116.2565464,91.66233737,99.7498118
481.2236475,47.89990481,113.057792,21.77632321,92.05077895,44.09971415
125.8911479,237.024975,49.73836189,91.82598156,7.77852002,262.0359401
248.6242529,184.8872245,86.34337701,157.5202293,12.09577618,63.63917276
150.4391549,13.45816729,126.8101017,5.545064952,98.77058097,88.20896117
142.4202472,186.7640971,51.39718757,11.37748767,48.76008214,211.9770177
